track_name,last_played_date,is_user_initiated,artist_name,track_name_clean
Carly Rae Jepsen - Curiosity,1650500371597,False,Carly Rae Jepsen,Curiosity
Carly Rae Jepsen - Curiosity,1650500371597,True,Carly Rae Jepsen,Curiosity
Marilyn Monroe - Running Wild,1676397745973,False,Marilyn Monroe,Running Wild
Marilyn Monroe - Running Wild,1676397745973,True,Marilyn Monroe,Running Wild
Adolph Deutsch and His Orchestra - Medley: Sugar Blues / Running Wild,1676397792018,False,Adolph Deutsch and His Orchestra,Medley: Sugar Blues / Running Wild
Adolph Deutsch and His Orchestra - Medley: Sugar Blues / Running Wild,1676397792018,True,Adolph Deutsch and His Orchestra,Medley: Sugar Blues / Running Wild
Dionne Warwick - Don't Make Me Over,1609348582909,False,Dionne Warwick,Don't Make Me Over
Dionne Warwick - Don't Make Me Over,1609348582909,True,Dionne Warwick,Don't Make Me Over
Dionne Warwick - I Say a Little Prayer,1735305368242,False,Dionne Warwick,I Say a Little Prayer
Dionne Warwick - I Say a Little Prayer,1735305368242,True,Dionne Warwick,I Say a Little Prayer
Dionne Warwick - Do You Know the Way to San Jose,1609348562004,False,Dionne Warwick,Do You Know the Way to San Jose
Dionne Warwick - Do You Know the Way to San Jose,1609348562004,True,Dionne Warwick,Do You Know the Way to San Jose
周杰倫 - 本草綱目 (Live),1672621045329,False,周杰倫,本草綱目 (Live)
周杰倫 - 本草綱目 (Live),1672621045329,True,周杰倫,本草綱目 (Live)
周杰倫 - 夜曲 (Live),1672621333120,False,周杰倫,夜曲 (Live)
周杰倫 - 夜曲 (Live),1672621333120,True,周杰倫,夜曲 (Live)
周杰倫 - 迷迭香 (Live),1672692838770,False,周杰倫,迷迭香 (Live)
周杰倫 - 迷迭香 (Live),1672692838770,True,周杰倫,迷迭香 (Live)
周杰倫 - 陽光宅男 (Live),1672692839331,False,周杰倫,陽光宅男 (Live)
周杰倫 - 陽光宅男 (Live),1672692839331,True,周杰倫,陽光宅男 (Live)
周杰倫 - 髮如雪 (Live),1672693019069,False,周杰倫,髮如雪 (Live)
周杰倫 - 髮如雪 (Live),1672693019069,True,周杰倫,髮如雪 (Live)
James Horner - Never an Absolution (Stereo),1742073856597,False,James Horner,Never an Absolution (Stereo)
James Horner - Never an Absolution (Stereo),1742073856597,True,James Horner,Never an Absolution (Stereo)
James Horner - Distant Memories (Stereo),1742073996624,False,James Horner,Distant Memories (Stereo)
James Horner - Distant Memories (Stereo),1742073996624,True,James Horner,Distant Memories (Stereo)
James Horner - Southampton (Stereo),1742074239281,False,James Horner,Southampton (Stereo)
James Horner - Southampton (Stereo),1742074239281,True,James Horner,Southampton (Stereo)
James Horner - Rose,1742074293118,False,James Horner,Rose
James Horner - Rose,1742074293118,True,James Horner,Rose
James Horner - Leaving Port (Stereo),1742074943627,False,James Horner,Leaving Port (Stereo)
James Horner - Leaving Port (Stereo),1742074943627,True,James Horner,Leaving Port (Stereo)
"James Horner - ""Take Her to Sea, Mr. Murdoch"" (Stereo)",1738171134448,False,James Horner,"""Take Her to Sea, Mr. Murdoch"" (Stereo)"
"James Horner - ""Take Her to Sea, Mr. Murdoch"" (Stereo)",1738171134448,True,James Horner,"""Take Her to Sea, Mr. Murdoch"" (Stereo)"
"James Horner - ""Hard to Starboard"" (Stereo)",1742074954750,False,James Horner,"""Hard to Starboard"" (Stereo)"
"James Horner - ""Hard to Starboard"" (Stereo)",1742074954750,True,James Horner,"""Hard to Starboard"" (Stereo)"
"James Horner - Unable to Stay, Unwilling to Leave (Stereo)",1742075192061,False,James Horner,"Unable to Stay, Unwilling to Leave (Stereo)"
"James Horner - Unable to Stay, Unwilling to Leave (Stereo)",1742075192061,True,James Horner,"Unable to Stay, Unwilling to Leave (Stereo)"
James Horner - The Sinking (Stereo),1742075497658,False,James Horner,The Sinking (Stereo)
James Horner - The Sinking (Stereo),1742075497658,True,James Horner,The Sinking (Stereo)
James Horner - Death of Titanic (Stereo),1742075506862,False,James Horner,Death of Titanic (Stereo)
James Horner - Death of Titanic (Stereo),1742075506862,True,James Horner,Death of Titanic (Stereo)
James Horner - A Promise Kept (Stereo),1742075575371,False,James Horner,A Promise Kept (Stereo)
James Horner - A Promise Kept (Stereo),1742075575371,True,James Horner,A Promise Kept (Stereo)
James Horner - A Life So Changed (Stereo),1742075709212,False,James Horner,A Life So Changed (Stereo)
James Horner - A Life So Changed (Stereo),1742075709212,True,James Horner,A Life So Changed (Stereo)
James Horner - An Ocean of Memories (Stereo),1742075744788,False,James Horner,An Ocean of Memories (Stereo)
James Horner - An Ocean of Memories (Stereo),1742075744788,True,James Horner,An Ocean of Memories (Stereo)
"Céline Dion & James Horner - My Heart Will Go On (Love Theme from ""Titanic"")",1740099564473,False,Céline Dion & James Horner,"My Heart Will Go On (Love Theme from ""Titanic"")"
"Céline Dion & James Horner - My Heart Will Go On (Love Theme from ""Titanic"")",1740099564473,True,Céline Dion & James Horner,"My Heart Will Go On (Love Theme from ""Titanic"")"
James Horner - Hymn to the Sea (Stereo),1740099950324,False,James Horner,Hymn to the Sea (Stereo)
James Horner - Hymn to the Sea (Stereo),1740099950324,True,James Horner,Hymn to the Sea (Stereo)
James Horner - Titanic Suite (Instrumental),1740101067760,False,James Horner,Titanic Suite (Instrumental)
James Horner - Titanic Suite (Instrumental),1740101067760,True,James Horner,Titanic Suite (Instrumental)
"Gaelic Storm - An Irish Party In Third Class (Includes ""John Ryan's Polka"" and ""Blarney Pilgrim"") [Instrumental]",1740101297868,False,Gaelic Storm,"An Irish Party In Third Class (Includes ""John Ryan's Polka"" and ""Blarney Pilgrim"") [Instrumental]"
"Gaelic Storm - An Irish Party In Third Class (Includes ""John Ryan's Polka"" and ""Blarney Pilgrim"") [Instrumental]",1740101297868,True,Gaelic Storm,"An Irish Party In Third Class (Includes ""John Ryan's Polka"" and ""Blarney Pilgrim"") [Instrumental]"
I Salonisti - Alexander's Ragtime Band (Instrumental),1740101448749,False,I Salonisti,Alexander's Ragtime Band (Instrumental)
I Salonisti - Alexander's Ragtime Band (Instrumental),1740101448749,True,I Salonisti,Alexander's Ragtime Band (Instrumental)
James Horner - The Portrait (Instrumental),1740101731895,False,James Horner,The Portrait (Instrumental)
James Horner - The Portrait (Instrumental),1740101731895,True,James Horner,The Portrait (Instrumental)
"James Horner - Jack Dawson's Luck (Includes ""Humours of Caledon"", ""The Red-haired Lass"", ""The Boys On the Hilltop"" & ""the Bucks of Oranmore"" (Instrumental)",1740102070470,False,James Horner,"Jack Dawson's Luck (Includes ""Humours of Caledon"", ""The Red-haired Lass"", ""The Boys On the Hilltop"" & ""the Bucks of Oranmore"" (Instrumental)"
"James Horner - Jack Dawson's Luck (Includes ""Humours of Caledon"", ""The Red-haired Lass"", ""The Boys On the Hilltop"" & ""the Bucks of Oranmore"" (Instrumental)",1740102070470,True,James Horner,"Jack Dawson's Luck (Includes ""Humours of Caledon"", ""The Red-haired Lass"", ""The Boys On the Hilltop"" & ""the Bucks of Oranmore"" (Instrumental)"
James Horner - A Building Panic (Instrumental),1740104279010,False,James Horner,A Building Panic (Instrumental)
James Horner - A Building Panic (Instrumental),1740104279010,True,James Horner,A Building Panic (Instrumental)
I Salonisti - Nearer My God to Thee (Instrumental),1740104448567,False,I Salonisti,Nearer My God to Thee (Instrumental)
I Salonisti - Nearer My God to Thee (Instrumental),1740104448567,True,I Salonisti,Nearer My God to Thee (Instrumental)
"James Horner - Come Josephine, In My Flying Machine (Voice)",1740104661496,False,James Horner,"Come Josephine, In My Flying Machine (Voice)"
"James Horner - Come Josephine, In My Flying Machine (Voice)",1740104661496,True,James Horner,"Come Josephine, In My Flying Machine (Voice)"
"James Horner - Lament (Includes ""a Spailpín a Rún"") [Instrumental]",1740104937795,False,James Horner,"Lament (Includes ""a Spailpín a Rún"") [Instrumental]"
"James Horner - Lament (Includes ""a Spailpín a Rún"") [Instrumental]",1740104937795,True,James Horner,"Lament (Includes ""a Spailpín a Rún"") [Instrumental]"
James Horner - A Shore Never Reached (Instrumental),1740105205472,False,James Horner,A Shore Never Reached (Instrumental)
James Horner - A Shore Never Reached (Instrumental),1740105205472,True,James Horner,A Shore Never Reached (Instrumental)
Céline Dion - My Heart Will Go On (Dialogue Mix) [Voice],1740151521007,False,Céline Dion,My Heart Will Go On (Dialogue Mix) [Voice]
Céline Dion - My Heart Will Go On (Dialogue Mix) [Voice],1740151521007,True,Céline Dion,My Heart Will Go On (Dialogue Mix) [Voice]
James Horner - Nearer My God to Thee (Instrumental),1740151664075,False,James Horner,Nearer My God to Thee (Instrumental)
James Horner - Nearer My God to Thee (Instrumental),1740151664075,True,James Horner,Nearer My God to Thee (Instrumental)
